% %  Exp3, Try1: sc black foot from soils surface 2cm down then forward (in x direction) 15cm then 10cm up
% Created on:05.04.2011 - 11:50
% Control Thread cycle time: 40 msec
% log cycle time: 40 msec
% Joint angles in [rad], force in [N], and torque in [Nm]

% msec; Joint0; Joint1; Joint2; Joint3; Joint4; Joint5; Joint6; Fx; Fy; Fz; Tx; Ty; Tz; FTStatus; RTDSeq; FTSeq; Marker; currentPointID; X; Y; Z; Rx; Ry; Rz
15; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155678; -3.211589; -2.590119; 0.075187; -0.003841; 0.004216; 0; 1; 61935754; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
46; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155686; -3.211540; -2.597651; 0.075406; -0.003717; 0.004217; 0; 1; 61936043; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
109; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.151524; -3.209122; -2.590075; 0.075437; -0.003513; 0.004348; 0; 1; 61936331; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
140; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.159917; -3.209118; -2.590146; 0.075216; -0.003789; 0.004349; 0; 1; 61936616; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
171; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.151545; -3.214045; -2.597837; 0.075156; -0.003385; 0.004478; 0; 1; 61936904; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
218; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155678; -3.211589; -2.590119; 0.075187; -0.003841; 0.004216; 0; 1; 61937189; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
265; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155678; -3.211589; -2.590119; 0.075187; -0.003841; 0.004216; 0; 1; 61937476; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
296; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.151545; -3.214045; -2.597837; 0.075156; -0.003385; 0.004478; 0; 1; 61937768; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
343; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.159917; -3.209118; -2.590146; 0.075216; -0.003789; 0.004349; 0; 1; 61938059; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
390; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155736; -3.211554; -2.590063; 0.075408; -0.003462; 0.004217; 0; 1; 61938346; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
421; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155738; -3.211571; -2.597780; 0.075186; -0.003334; 0.004216; 0; 1; 61938631; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
468; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155678; -3.211589; -2.590119; 0.075187; -0.003841; 0.004216; 0; 1; 61938918; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
515; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.151526; -3.209140; -2.597791; 0.075215; -0.003384; 0.004347; 0; 1; 61939206; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
546; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155686; -3.211540; -2.597651; 0.075406; -0.003717; 0.004217; 0; 1; 61939494; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
578; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155678; -3.211589; -2.590119; 0.075187; -0.003841; 0.004216; 0; 1; 61939780; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
609; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.151518; -3.209188; -2.590260; 0.074996; -0.003508; 0.004346; 0; 1; 61940069; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
