% TRY3: sc black foot from soil surface 1cm down (in 10000ms), then 5mm up (in 5000ms) then down 2.5cm (in 25000ms), then up 5mm (in 5000ms), and finally up 4cm (in 1000ms)
% Created on:04.05.2011 - 14:12
% Control Thread cycle time: 40 msec
% log cycle time: 40 msec
% Joint angles in [rad], force in [N], and torque in [Nm]

% msec; Joint0; Joint1; Joint2; Joint3; Joint4; Joint5; Joint6; Fx; Fy; Fz; Tx; Ty; Tz; FTStatus; RTDSeq; FTSeq; Marker; currentPointID; X; Y; Z; Rx; Ry; Rz
31; 0.000205298; 0.349281; -0.000180782; 1.22216; -0.000136591; 1.57114; 1.57084; 3.402593; -2.726596; 0.972662; -0.081500; -0.370190; 0.006003; 0; 1; 7095856; 0; -1; -388.578; 0.00125098; 436.316; 179.943; -0.0113732; 89.9996
63; 0.000205298; 0.349281; -0.000180782; 1.22216; -0.000136591; 1.57114; 1.57084; 3.394124; -2.731462; 0.972602; -0.081559; -0.370089; 0.006136; 0; 1; 7096145; 0; -1; -388.578; 0.00125098; 436.316; 179.943; -0.0113732; 89.9996
94; 0.000205298; 0.349286; -0.000185804; 1.22216; -0.000147974; 1.57114; 1.57084; 3.398336; -2.729030; 0.972590; -0.081530; -0.370140; 0.006267; 0; 1; 7096432; 0; -1; -388.579; 0.00480447; 436.314; 179.943; -0.0121239; 89.9994
141; 0.000205298; 0.349286; -0.000185804; 1.22216; -0.000159356; 1.57114; 1.57084; 3.394193; -2.726544; 0.965060; -0.081502; -0.370343; 0.006004; 0; 1; 7096717; 0; -1; -388.579; 0.00675886; 436.314; 179.943; -0.0127761; 89.9994
172; 0.000205298; 0.349281; -0.000185804; 1.22216; -0.000165047; 1.57114; 1.57084; 3.402574; -2.731501; 0.972617; -0.081559; -0.370191; 0.006134; 0; 1; 7097003; 0; -1; -388.578; 0.0077362; 436.316; 179.943; -0.0131021; 89.9994
219; 0.000205298; 0.349286; -0.000185804; 1.22216; -0.000170739; 1.57114; 1.57084; 3.394176; -2.731431; 0.972731; -0.081339; -0.370472; 0.006136; 0; 1; 7097291; 0; -1; -388.579; 0.00871325; 436.314; 179.943; -0.0134283; 89.9994
250; 0.000205298; 0.349281; -0.000185804; 1.22216; -0.00017643; 1.57114; 1.57084; 3.398415; -2.733902; 0.972758; -0.081368; -0.370523; 0.006003; 0; 1; 7097579; 0; -1; -388.578; 0.00969059; 436.316; 179.943; -0.0137543; 89.9994
297; 0.000205298; 0.349281; -0.000185804; 1.22216; -0.00017643; 1.57114; 1.57085; 3.398365; -2.733915; 0.980345; -0.081366; -0.370269; 0.006004; 0; 1; 7097873; 0; -1; -388.578; 0.00969059; 436.316; 179.943; -0.0137549; 89.9988
344; 0.000205298; 0.349281; -0.000185804; 1.22216; -0.000182121; 1.57114; 1.57085; 3.394176; -2.731431; 0.972731; -0.081339; -0.370472; 0.006136; 0; 1; 7098171; 0; -1; -388.578; 0.0106678; 436.316; 179.943; -0.014081; 89.9988
375; 0.000205298; 0.349281; -0.000185804; 1.22216; -0.000182121; 1.57114; 1.57085; 3.394176; -2.731431; 0.972731; -0.081339; -0.370472; 0.006136; 0; 1; 7098171; 0; -1; -388.578; 0.0106678; 436.316; 179.943; -0.014081; 89.9988
422; 0.000205298; 0.349281; -0.000185804; 1.22216; -0.000182121; 1.57114; 1.57085; 3.398354; -2.733885; 0.965097; -0.081370; -0.370016; 0.006004; 0; 1; 7098540; 0; -1; -388.578; 0.0106678; 436.316; 179.943; -0.014081; 89.9988
453; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57085; 3.398412; -2.733920; 0.965041; -0.081590; -0.370395; 0.006003; 0; 1; 7098834; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141795; 89.9985
500; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57085; 3.402574; -2.731501; 0.972617; -0.081559; -0.370191; 0.006134; 0; 1; 7099122; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141795; 89.9985
531; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57085; 3.398407; -2.733854; 0.965227; -0.081150; -0.370399; 0.006004; 0; 1; 7099409; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141795; 89.9985
578; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57085; 3.398357; -2.733867; 0.972814; -0.081148; -0.370145; 0.006004; 0; 1; 7099695; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141795; 89.9985
625; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57085; 3.394173; -2.731449; 0.965014; -0.081561; -0.370343; 0.006136; 0; 1; 7099990; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141795; 89.9985
656; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57086; 3.398412; -2.733920; 0.965041; -0.081590; -0.370395; 0.006003; 0; 1; 7100277; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141801; 89.9979
703; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57086; 3.398388; -2.728999; 0.972719; -0.081310; -0.370523; 0.006267; 0; 1; 7100565; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141801; 89.9979
734; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57086; 3.402593; -2.726596; 0.972662; -0.081500; -0.370190; 0.006003; 0; 1; 7100851; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141801; 89.9979
781; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57086; 3.398354; -2.733885; 0.965097; -0.081370; -0.370016; 0.006004; 0; 1; 7101137; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141801; 89.9979
